task id,task type,task shape,leader succ rate,follower succ rate
0,0,0,0.0,0.0
1,3,2,0.7,0.7
2,4,2,0.7,0.7
3,1,1,0.9,0.0
4,3,3,0.7,0.7
5,4,2,0.7,0.7
6,1,1,0.9,0.0
7,3,1,0.7,0.7
8,4,2,0.7,0.7
9,2,4,0.0,0.9
10,1,1,0.9,0.0
11,3,1,0.7,0.7
12,4,2,0.7,0.7
13,3,2,0.7,0.7
14,1,2,0.9,0.0
15,4,2,0.7,0.7
16,3,2,0.7,0.7
17,3,4,0.7,0.7
18,1,2,0.9,0.0
19,4,2,0.7,0.7
20,4,2,0.7,0.7
21,1,2,0.9,0.0
22,4,4,0.7,0.7
23,4,2,0.7,0.7
24,3,6,0.7,0.7
25,4,6,0.7,0.7
26,3,2,0.7,0.7
27,3,4,0.7,0.7
28,4,2,0.7,0.7
29,3,1,0.7,0.7
30,2,2,0.0,0.9
31,4,2,0.7,0.7
32,3,3,0.7,0.7
33,4,3,0.7,0.7
34,1,2,0.9,0.0
35,3,2,0.7,0.7
36,3,5,0.7,0.7
37,4,3,0.7,0.7
