task id,task type,task shape,leader succ rate,follower succ rate
0,0,0,0.0,0.0
1,4,2,0.7,0.7
2,1,1,0.9,0.0
3,2,1,0.0,0.9
4,3,1,0.7,0.7
5,4,2,0.7,0.7
6,3,6,0.7,0.7
7,4,1,0.7,0.7
8,3,2,0.7,0.7
9,4,6,0.7,0.7
10,3,3,0.7,0.7
11,4,3,0.7,0.7
12,3,2,0.7,0.7
13,4,2,0.7,0.7
14,2,3,0.0,0.9
15,4,3,0.7,0.7
16,3,2,0.7,0.7
17,4,4,0.7,0.7
18,1,2,0.9,0.0
19,4,3,0.7,0.7
20,2,2,0.0,0.9
21,3,3,0.7,0.7
22,3,4,0.7,0.7
23,4,3,0.7,0.7
24,2,2,0.0,0.9
25,4,1,0.7,0.7
26,3,3,0.7,0.7
27,1,2,0.9,0.0
28,3,5,0.7,0.7
29,4,3,0.7,0.7
30,4,2,0.7,0.7
31,3,3,0.7,0.7
32,1,2,0.9,0.0
33,3,3,0.7,0.7
34,1,2,0.9,0.0
35,4,3,0.7,0.7
36,4,3,0.7,0.7
37,3,2,0.7,0.7
38,4,3,0.7,0.7
39,3,3,0.7,0.7
40,4,4,0.7,0.7
