task id,task type,task shape,leader succ rate,follower succ rate
0,0,0,0.0,0.0
1,4,3,0.7,0.7
2,3,2,0.7,0.7
3,1,2,0.9,0.0
4,4,3,0.7,0.7
5,1,2,0.9,0.0
6,3,4,0.7,0.7
7,4,2,0.7,0.7
8,3,1,0.7,0.7
9,3,1,0.7,0.7
10,4,2,0.7,0.7
11,4,1,0.7,0.7
12,3,1,0.7,0.7
13,3,1,0.7,0.7
14,2,3,0.0,0.9
15,4,2,0.7,0.7
16,3,1,0.7,0.7
17,1,2,0.9,0.0
18,4,3,0.7,0.7
19,3,2,0.7,0.7
20,4,2,0.7,0.7
21,3,2,0.7,0.7
22,4,2,0.7,0.7
23,3,2,0.7,0.7
24,3,4,0.7,0.7
25,3,2,0.7,0.7
26,3,2,0.7,0.7
27,4,2,0.7,0.7
28,2,2,0.0,0.9
29,3,2,0.7,0.7
30,4,3,0.7,0.7
